Key,Source,Context,Changes,English,French,German,Klingon,Spanish
10mmBullet,items,Ammo,LEGACY,10mm Round (Ammo),,,,
10mmBulletCasing,items,Tool,,10mm Bullet Casing (Ammo),,,,
10mmBulletCasingDesc,items,Tool,,These casings can be used to craft 10mm bullets.,,,,
10mmBulletDesc,items,Ammo,LEGACY,A 10mm round used as firearm ammunition. Can be crafted once you've purchased the perk.,,,,
10mmBulletSchematic,items,Book,LEGACY,10mm Round Schematic,,,,
10mmBulletSchematicDesc,items,Book,LEGACY,Learn to craft this ammunition type if you meet the skill requirement or improve your base skill if you do not.,,,,
10mmRoundCrafting,progression,Skill,LEGACY,10mm Round Crafting,,,,
10mmRoundCraftingDesc,progression,Skill,LEGACY,Learn to craft 10mm rounds at a Armory/Ammunition Table.,,,,
44MagBullet,items,Ammo,EnChanged,.44 Magnum Round (Ammo),,,,
44MagBulletCasing,items,Tool,,44Magnum Bullet Casing (Ammo),,,,
44MagBulletCasingDesc,items,Tool,,These casings can be used to craft 44Magnum bullets.,,,,
44MagBulletDesc,items,Ammo,KgNone,A .44 Magnum round used as firearm ammunition. Can be crafted once you've purchased the perk.,,,,
44MagBulletHP,items,Gun,,44. Magnum Hollow Point (Ammo),,,,
44MagBulletINC,items,Gun,,44. Magnum Incendiary (Ammo),,,,
44MagnumRoundCrafting,progression,Skill,KgNone,.44 Magnum Round Crafting,,,,
44MagnumRoundCraftingDesc,progression,Skill,EnChanged,Learn to craft .44 magnum rounds at a Armory/Ammunition Table.,,,,
762mmBullet,items,Ammo,EnChanged,7.62mm Round (Ammo),,,,
762mmBulletCasing,items,Tool,,762mm Bullet Casing (Ammo),,,,
762mmBulletCasingDesc,items,Tool,,These casings can be used to craft 762mm bullets.,,,,
762mmBulletDesc,items,Ammo,KgNone,A 7.62mm round used as firearm ammunition. Can be crafted once you've purchased the perk.,,,,
762mmBulletHP,items,Gun,,762mm Hollow Point (Ammo),,,,
762mmBulletINC,items,Gun,,762mm Incendiary (Ammo),,,,
762mmBulletSchematic,items,Book,KgNone,7.62mm Round Schematic,,,,
762mmBulletSchematicDesc,items,Book,KgNone,Learn to craft this ammunition type if you meet the skill requirement or improve your base skill if you do not.,,,,
762mmRoundCrafting,progression,Skill,KgNone,7.62mm Round Crafting,,,,
762mmRoundCraftingDesc,progression,Skill,EnChanged,Learn to craft 7.62mm rounds at a Armory/Ammunition Table.,,,,
9mmBullet,items,Ammo,EnChanged,9mm Round (Ammo),,,,
9mmBulletCasing,items,Tool,,9mm Bullet Casing (Ammo),,,,
9mmBulletCasingDesc,items,Tool,,These casings can be used to craft 9mm bullets.,,,,
9mmBulletDesc,items,Ammo,KgNone,A 9mm round used as firearm ammunition. Can be crafted once you've purchased the perk.,,,,
9mmBulletHP,items,Gun,,9mm Hollow Point (Ammo),,,,
9mmBulletINC,items,Gun,,9mm Incendiary (Ammo),,,,
9mmBulletSchematic,items,Book,KgNone,9mm Round Schematic,,,,
9mmBulletSchematicDesc,items,Book,KgNone,Learn to craft this ammunition type if you meet the skill requirement or improve your base skill if you do not.,,,,
9mmRoundCrafting,progression,Skill,KgNone,9mm Round Crafting,,,,
9mmRoundCraftingDesc,progression,Skill,EnChanged,Learn to craft 9mm rounds at a Armory/Ammunition Table.,,,,
aealAccountDoesNotExist,,Account Linking App Error,KgNone,An account with this email address does not exist.,,,,
aealAccountExists,,Account Linking App Error,KgNone,This email address already exists.,,,,
aealAuthenticationFail,,Account Linking App Error,KgNone,Authentication for this account failed. Please check your password and try again.,,,,
aealInvalidEmail,,Account Linking App Error,KgNone,The email format is invalid.,,,,
aealInvalidPassword,,Account Linking App Error,KgNone,The password does not conform to the validation rules.,,,,
aealMissingInfo,,Account Linking App Error,KgNone,No username or password supplied.,,,,
aealToS,,Main Menu Account Linking,KgNone,Please accept the Terms of Service.,,,,
aealUnknownError,,Account Linking App Error,KgNone,Unable to connect to TTG Account Servers. Please try again later.,,,,
aeconConnectionFailed,,Connection App Error,KgNone,Failed to connect to the server.  Please try again later.,,,,
aeconDisconnected,,Connection App Error,KgNone,You have been disconnected from the game. Please try again later.,,,,
aeconPlayerDenied,,Connection App Error,KgNone,You have been banned from this game. Please try a different game.,,,,
aeconPlayerKicked,,Connection App Error,KgNone,You have been kicked from this game. Please try a different game.,,,,
aeconUnknown,,Connection App Error,KgNone,Failed to connect to the server. Please try again later.,,,,
aeGenericTitle,,App Error,KgNone,ERROR,,,,
aegenGuestProfile,,General App Error,KgNone,Guest Xbox profile cannot access this feature. Please use a different Xbox profile.,,,,
aegenNetOffline,,General App Error,KgNone,You are not connected to the internet. Please resolve this issue and try again.,,,,
aegenPatch,,General App Error,KgNone,A patch is required to access multiplayer features.,,,,
aegenPrimaryProfile,,Connection App Error,KgNone,The current profile signed out. The game will now exit to the title screen.,,,,
aegenPrivilegeUCC,,General App Error,KgNone,Access to user created content is required for this feature.,,,,
aegenPSNOffline,,GeneralAppError,KgNone,You are not connected to the PlayStation™Network.  Please resolve this issue and try again.,,,,
aegenPSNPrivilege,,General App Error,KgNone,Access to PlayStation®Plus is required for this feature.,,,,
aegenUnknown,,General App Error,KgNone,An unknown error has occurred. Please try again later.,,,,
aegenXBLOffline,,General App Error,KgNone,You are not connected to Xbox Live.  Please resolve this issue and try again.,,,,
aegenXBLPrivilege,,General App Error,KgNone,Access to Xbox Live is required for this feature.,,,,
aemmNoSessions,,Matchmaking App Error,KgNone,There were no sessions available.  Please start a new game or adjust your search criteria and try again.,,,,
aemmOffline,,Matchmaking App Error,KgNone,"Unable to connect to the internet, please try again later.",,,,
aemmSessionFull,,Connection App Error,KgNone,The game you're trying to join is full.,,,,
aemmUnknown,,Matchmaking App Error,KgNone,An internal error occurred while matchmaking.  Please try again.,,,,
aemmUnknownPS4,,Matchmaking App Error,KgNone,Connection to PlayStation™Network lost. Check your network connection and try again.,,,,
aemmUnknownXB1,,Matchmaking App Error,KgNone,Connection to Xbox Live services lost. Check your network connection and try again.,,,,
aemmUserBlocked,,Matchmaking App Error,KgNone,The game you're trying to join contains a user who has blocked you.,,,,
aemmWrongUser,,Matchmaking App Error,KgNone,Please sign in to accept this invite.,,,,
aemmWrongUserXB1,,Matchmaking App Error,KgNone,Please sign in with {0} to accept this invite.,,,,
aeOK,,App Error,KgNone,OK,,,,
air,blocks,Terrain,KgNone,Air,,,,
airConditioner,blocks,Block,KgNone,Air Conditioner,,,,
airFilter,items,Item,KgNone,Car Air Filter,,,,
airFilterDesc,items,Item,KgNone,An old car air filter. Scrap it or use it for a casing to make a makeshift landmine.,,,,
ak47Schematic,items,Book,KgNone,AK-47 Schematic,,,,
ak47SchematicDesc,items,Book,KgNone,"Learn how to assemble, repair and augment AK-47 Assault Rifles by reading this schematic.",,,,
alcoholPoisoning,buffs,Buff,KgNone,Inebriated,,,,
alcoholPoisoningDesc,buffs,Buff,EnChanged KgNone,You have alcohol poisoning. There may be a duration but you're too sick to figure it out.,,,,
alcoholPoisoningTooltip,buffs,Buff,KgNone,You have alcohol poisoning.,,,,
aloeCream,items,Medical,KgNone,Aloe Cream,,,,
aloeCreamDesc,items,Medical,KgNone,Type: [decea3]Medicine[-] [4FFFBE](Uncommon)[-]\nCrafted: [decea3]Backpack Inventory[-]\nMaterial: [decea3]Organic[-]\n\nAloe cream can be used to craft first aid bandages.,,,,
aloeLotion,buffs,Buff,,Aloe Lotion,,,,
aloeLotionDesc,buffs,Buff,,A nice layer of lotion helps keep your skin cool.,,,,
aloeLotionTooltip,buffs,Buff,,You feel cooler.,,,,
aloePlant,items,Farming,New,Aloe Vera Plant,,,,
aloePlantDesc,items,Item,,Type: [decea3]Plant[-] [CCCCCC](Common)[-]\n\nAloe Vera Plant,,,,
aloeSeed,items,Farming,New,Aloe Vera Seed,,,,
aloeSeedDesc,items,Item,,Type: [decea3]Seed[-] [4FFFBE](Uncommon)[-]\nCrafted: [decea3]Backpack Inventory[-]\n\nAloe Vera Seed,,,,
alphabetLetterSignGroupDesc,blocks,Block,KgNone,Create your own billboards with these single letter signs.,,,,
alreadyKnown,UI,Tooltip,KgNone,All Recipes Already Known,,,,
altmeddesc,progression,Skill,KgNone,Learn this to unlock Nature's gift.  Can only learn once you reach 18.,,,,
ammoSupply10mm,items,Gun,,Ammo Supply - 10mm Bullets,,,,
ammoSupply44Mag,items,Gun,,Ammo Supply - 44Mag Bullets,,,,
ammoSupply762mm,items,Gun,,Ammo Supply - 762mm Bullets,,,,
ammoSupply9mm,items,Gun,,Ammo Supply - 9mm Bullets,,,,
ammoSupplyDesc,items,Gun,,This supply of ammo can be gained from an ammo supply box.,,,,
ammoSupplyShotgun,items,Gun,,Ammo Supply - Shotgun Shells,,,,
ammunitionNationBook,items,Book,KgNone,Ammunition Nation Book,,,,
ammunitionNationBookDesc,items,Book,KgNone,Learn to craft brass casings and lead tips for ammunition crafting.,,,,
animalBear,entityclasses,Entity,KgNone,Bear,,,,
animalBoar,entityclasses,Entity,New,Boar,,,,
animalChicken,entityclasses,Entity,KgNone,Chicken,,,,
animalFat,items,Item,KgNone,Animal Fat,,,,
